Time (s), Force (mN), hv_set (V), hv_vm (V), hv_err (V), lv_set (V), lv_vm (V), lv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)
2605273.78544050, -1.545713,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.78794050, -1.545713,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.79044050, -1.545713,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.79294050, -1.545713,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.79544050, -1.443500,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.79794050, -0.188595,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.80044050, 1.409646,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.80294050, 1.351496,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.80544050, 1.016778,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.80794050, 0.079619,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.81044050, -1.269400,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.81294050, -1.961600,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.81544050, -0.904264,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.81794050, -0.526339,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.82044050, 0.710473,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.82294050, 1.024910,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.82544050, 0.891792,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.82794050, 0.891792,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.83044050, -0.152966,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.83294050, -1.003393,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.83544050, -1.066905,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.83794050, -0.439208,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.84044050, 0.472641,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.84294050, 1.255030,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.84544050, 1.346955,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.84794050, 0.972605,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.85044050, -0.063341,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.85294050, -1.198322,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.85544050, -1.163243,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.85794050, -0.623370,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.86044050, 0.450626,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.86294050, 1.530315,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.86544050, 1.161098,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.86794050, -0.177044,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.87044050, -1.224989,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.87544050, -0.951844,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.87794050, -0.065520,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.88044050, 0.816956,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.88294050, 0.924289,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.88544050, 0.962627,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.88794050, 0.662638,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.89044050, 0.304275,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.89294050, -0.330852,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.89544050, -1.384253,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.89794050, -0.759488,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.90044050, 0.036456,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.90294050, 0.873954,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.90544050, 0.751292,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.90794050, 0.393479,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.91044050, -0.061244,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.91294050, -0.515966,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.91544050, -0.589102,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.91794050, -0.310949,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.92044050, 0.492403,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.92294050, 1.081068,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.92544050, 0.560377,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.92794050, 0.152904,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.93044050, -1.163320,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.93294050, -1.636998,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.93544050, -1.289133,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.93794050, -0.878603,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.94294050, 1.859931,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.94544050, 1.105608,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.94794050, 0.578006,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.95044050, -0.846554,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.95294050, -1.472053,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.95544050, -1.170035,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.95794050, -0.280388,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.96044050, 0.278120,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.96294050, 0.676910,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.96544050, 0.902679,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.96794050, 0.839765,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.97044050, 0.182368,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.97294050, -0.605525,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.97544050, -1.136408,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.97794050, -0.216821,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.98044050, 1.001190,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.98294050, 1.976750,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.98544050, 1.180444,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.98794050, 0.498740,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.99044050, -0.971694,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.99294050, -1.643218,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.99544050, -0.829429,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605273.99794050, -0.088633,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.00044050, 1.372878,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.00294050, 1.456572,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.00544050, 1.034413,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.00794050, -0.279283,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.01044050, -1.182225,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.01294050, -1.310800,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.01544050, -1.625439,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.01794050, -0.068715,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.02044050, 0.595113,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.02294050, 1.258940,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.02544050, 1.239490,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.02794050, 0.743684,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.03044050, 0.233308,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.03294050, -0.277068,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.03544050, -0.801069,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.03794050, -0.336179,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.04044050, 0.550201,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.04294050, 0.963301,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.04544050, 0.795574,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.04794050, 0.311230,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.05044050, -1.097785,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.05294050, -1.510165,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.05544050, -0.840119,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.05794050, -0.460365,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.06044050, 0.742606,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.06294050, 1.338895,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.06544050, 0.806265,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.06794050, 0.256631,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.07044050, -0.991985,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.07294050, -1.730754,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.07544050, -1.374660,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.07794050, -0.715544,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.08044050, 0.820905,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.08294050, 1.201260,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.08544050, 0.849028,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.08794050, 0.849028,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.09044050, -0.976148,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.09294050, -1.217783,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.09544050, -0.933174,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.09794050, -0.648564,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.10044050, -0.076778,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.10294050, 0.670065,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.10544050, 0.672650,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.10794050, 0.057297,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.11044050, -0.768731,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.11294050, -1.384783,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.11544050, -1.128771,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.11794050, -0.454716,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.12044050, 1.021533,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.12294050, 1.179149,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2605274.12544050, 0.517613,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
