Time (s), Force (mN), hv_set (V), hv_vm (V), hv_err (V), lv_set (V), lv_vm (V), lv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)
2092289.85212580, 44847.073608, 7646602, 1000, 998, 2.3, 0.8, 0.8, -0,  0,  0
2092289.85462580, 44847.073608, 7646602, 1000, 998, 2.3, 0.8, 0.8, -0,  0,  0
2092289.85712580, 44847.073608, 7646602, 1000, 998, 2.3, 0.8, 0.8, -0,  0,  0
2092289.85962580, 44847.073608, 7646602, 1000, 998, 2.3, 0.8, 0.8, -0,  0,  0
2092289.86212580, 44847.073608, 7646602, 1000, 998, 2.3, 0.8, 0.8, -0,  0,  0
2092289.86462580, 44847.474558, 7646602, 1000, 998, 2.3, 0.8, 0.8, -0,  0,  0
2092289.86712580, 44847.701309, 7646602, 1000, 998, 2.3, 0.8, 0.8, -0,  0,  0
2092289.86962580, 44847.455796, 7646602, 1000, 998, 2.3, 0.8, 0.8, -0,  0,  0
2092289.87212580, 44846.877660, 7646602, 1000, 998, 2.3, 0.8, 0.8, -0,  0,  0
2092289.87462580, 44846.139036, 7646602, 1000, 998, 2.3, 0.8, 0.8, -0,  0,  0
2092289.87712580, 44845.897619, 7646602, 1000, 998, 2.3, 0.8, 0.8, -0,  0,  0
2092289.87962580, 44845.856517, 7646602, 1000, 998, 2.3, 0.8, 0.8, -0,  0,  0
2092289.88212580, 44846.569499, 7646604, 1000, 998, 2.1, 0.8, 0.8, -0,  0,  0
2092289.88462580, 44847.658309, 7646607, 1000, 998, 1.9, 0.8, 0.8, -0,  0,  0
2092289.88712580, 44847.846660, 7646610, 1000, 998, 1.6, 0.8, 0.8, -0,  0,  0
2092289.88962580, 44847.246479, 7646612, 1000, 999, 1.4, 0.8, 0.8, -0,  0,  0
2092289.89212580, 44846.681658, 7646615, 1000, 999, 1.1, 0.8, 0.8, -0,  0,  0
2092289.89462580, 44846.256930, 7646617, 1000, 999, 0.9, 0.8, 0.8, -0,  0,  0
2092289.89712580, 44846.229034, 7646620, 1000, 999, 0.6, 0.8, 0.8, -0,  0,  0
2092289.89962580, 44846.626529, 7646622, 1000, 1000, 0.4, 0.8, 0.8, -0,  0,  0
2092289.90212580, 44847.322024, 7646625, 1000, 1000, 0.3, 0.8, 0.8, -0,  0,  0
2092289.90462580, 44847.694207, 7646627, 1000, 1000, 0.3, 0.8, 0.8, -0,  0,  0
2092289.90712580, 44847.764252, 7646629, 1000, 1000, 0.3, 0.8, 0.8, -0,  0,  0
2092289.90962580, 44847.834296, 7646632, 1000, 1000, 0.3, 0.8, 0.8, -0,  0,  0
