Time (s), Force (mN), hv_set (V), hv_vm (V), hv_err (V), lv_set (V), lv_vm (V), lv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)
2604842.74037760, 1.412714,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.74287760, 1.412714,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.74537760, 1.412714,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.74787760, 1.407638,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.75037760, 1.114950,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.75287760, 0.685739,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.75537760, 0.006618,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.75787760, -1.088935,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.76037760, -0.884117,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.76287760, -0.500941,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.76537760, 0.160844,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.76787760, 1.164298,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.77037760, 1.290384,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.77287760, 1.102681,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.77537760, 0.197786,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.77787760, -0.997822,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.78037760, -0.964764,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.78287760, -0.682685,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.78537760, 0.250177,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.78787760, 1.145014,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.79037760, 1.140856,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.79287760, 1.136697,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.79537760, 0.216798,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.79787760, -1.012423,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.80037760, -1.414936,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.80287760, -0.841993,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.80537760, -0.505043,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.80787760, -0.172785,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.81037760, 0.159472,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.81287760, 0.261020,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.81537760, -0.073954,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.81787760, -0.497331,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.82037760, -0.920708,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.82287760, -1.054768,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.82787760, 0.362647,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.83037760, 1.142391,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.83287760, 0.453524,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.83537760, -0.283252,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.83787760, -1.086140,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.84037760, -1.611030,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.84287760, -1.012342,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.84537760, 0.550364,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.84787760, 1.045683,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.85037760, 1.135224,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.85287760, 0.894676,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.85537760, 0.379119,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.85787760, -0.143247,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.86037760, -0.497547,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.86287760, -0.846678,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.86537760, -1.166136,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.86787760, -0.543042,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.87037760, 0.080052,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.87287760, 0.703147,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.87537760, 0.062185,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.87787760, -1.129009,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.88037760, -1.468947,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.88287760, -0.744854,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.88537760, 0.824386,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.88787760, 1.582921,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.89037760, 1.565094,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.89287760, 1.212778,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.89787760, -0.696366,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.90037760, -1.269993,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.90287760, -0.621204,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.90537760, 0.677056,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.90787760, 1.081299,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.91037760, 1.093231,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.91287760, 1.109176,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.91537760, -0.276106,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.91787760, -1.211433,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.92037760, -1.450678,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.92287760, -1.490390,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.92537760, -1.359670,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.92787760, -0.899290,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.93037760, -0.438910,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.93287760, -0.023184,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.93537760, -0.593623,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.93787760, -1.267760,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.94037760, -1.409711,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.94287760, -0.285378,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2604842.94537760, 0.568140,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
