Time (s), Force (mN), hv_set (V), hv_vm (V), hv_err (V), lv_set (V), lv_vm (V), lv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)
2597066.99625220, -0.417387,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597066.99875220, -0.417387,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.00125220, -0.417387,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.00375220, 0.541361,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.00625220, 0.908273,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.00875220, 1.033869,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.01125220, 0.298965,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.01375220, -0.571817,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.01625220, -0.742267,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.01875220, -0.935851,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.02125220, -0.127742,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.02375220, 0.934227,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.02625220, 1.091511,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.02875220, 1.040170,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.03125220, 0.319315,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.03375220, -0.487399,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.03625220, -1.045148,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.03875220, -1.231226,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.04125220, -0.149086,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.04375220, 0.958513,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.04625220, 1.273957,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.04875220, 1.512634,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.05125220, 1.366837,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.05375220, 0.139842,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.05625220, -0.862389,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.05875220, -1.038322,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.06125220, -1.214255,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.06375220, -0.607467,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.06625220, 0.803727,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
2597067.06875220, 0.884348,    0,    2, -2, 0.00, 0.00, 0.00,  0,  0,  0
