--------------------Experiment_Info------------------------

Datetime: 15-54-50_25-06-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Position
Modulation: OFF

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: one
Fiber length (mm): 20
Number of fibers: 1
Insulator: PVDF

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)

F, 3382730.24293470, 0.0000,  0.118418, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.24543470, 0.0025,  0.008737, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.24793470, 0.0050, -0.100944, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.25043470, 0.0075, -0.210625, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.25293470, 0.0100, -0.320306, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.25543470, 0.0125, -0.284012, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.25793470, 0.0150, -0.231917, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.26043470, 0.0175, -0.181899, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.26293470, 0.0200, -0.131881, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.26543470, 0.0225, -0.081862, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.26793470, 0.0250, -0.031844, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.27043470, 0.0275, -0.377471, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.27293470, 0.0300, -0.056171, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.27543470, 0.0325,  0.006711, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.27793470, 0.0350,  0.013027, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.28043470, 0.0375,  0.019343, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.28293470, 0.0400, -0.144934, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.28543470, 0.0425, -0.254971, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.28793470, 0.0450, -0.295917, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.29043470, 0.0475, -0.336863, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
F, 3382730.29293470, 0.0500, -0.201406, 20.000, 4.0 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
