--------------------Experiment_Info------------------------

Datetime: 16-59-17_26-06-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Position
Modulation: OFF

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)

A, 29815.92991560, 0.0000,  25.947571, 0.000, 4.0 3000.0, 2986.9,  13.1,  0.0,  0.0,  0.0
A, 29815.93241560, 0.0025,  25.953515, 0.000, 4.0 3000.0, 2986.9,  13.1,  0.0,  0.0,  0.0
A, 29815.93491560, 0.0050,  25.918517, 0.000, 4.0 3000.0, 2986.9,  13.1,  0.0,  0.0,  0.0
A, 29815.93741560, 0.0075,  25.766305, 0.000, 4.0 3000.0, 2986.9,  13.1,  0.0,  0.0,  0.0
A, 29815.93991560, 0.0100,  25.773576, 0.000, 4.0 3000.0, 2986.9,  13.1,  0.0,  0.0,  0.0
A, 29815.94241560, 0.0125,  25.791692, 0.000, 4.0 3000.0, 2986.9,  13.1,  0.0,  0.0,  0.0
A, 29815.94491560, 0.0150,  25.789802, 0.000, 4.0 3000.0, 2986.9,  13.1,  0.0,  0.0,  0.0
A, 29815.94741560, 0.0175,  25.730557, 0.000, 4.0 3000.0, 2986.9,  13.1,  0.0,  0.0,  0.0
A, 29815.94991560, 0.0200,  25.712539, 0.000, 4.0 3000.0, 2986.9,  13.1,  0.0,  0.0,  0.0
A, 29815.95241560, 0.0225,  25.772244, 0.000, 4.0 3000.0, 2986.9,  13.1,  0.0,  0.0,  0.0
A, 29815.95491560, 0.0250,  25.773576, 0.000, 4.0 3000.0, 2986.9,  13.1,  0.0,  0.0,  0.0
A, 29815.95741560, 0.0275,  25.773576, 0.000, 4.0 3000.0, 2986.9,  13.1,  0.0,  0.0,  0.0
A, 29815.95991560, 0.0300,  25.692667, 0.000, 4.0 3000.0, 2986.9,  13.1,  0.0,  0.0,  0.0
A, 29815.96241560, 0.0325,  25.644765, 0.000, 4.0 3000.0, 2986.9,  13.1,  0.0,  0.0,  0.0
A, 29815.96491560, 0.0350,  25.626139, 0.000, 4.0 3000.0, 2986.9,  13.1,  0.0,  0.0,  0.0
A, 29815.96741560, 0.0375,  25.647385, 0.000, 4.0 3000.0, 2986.9,  13.1,  0.0,  0.0,  0.0
A, 29815.96991560, 0.0400,  25.675026, 0.000, 4.0 3000.0, 2986.9,  13.1,  0.0,  0.0,  0.0
A, 29815.97491560, 0.0450,  25.615451, 0.000, 4.0 3000.0, 2987.0,  13.0,  0.0,  0.0,  0.0
A, 29815.97741560, 0.0475,  25.607692, 0.000, 4.0 3000.0, 2987.8,  12.2,  0.0,  0.0,  0.0
A, 29815.97991560, 0.0500,  25.571618, 0.000, 4.0 3000.0, 2988.5,  11.5,  0.0,  0.0,  0.0
A, 29815.98241560, 0.0525,  25.504054, 0.000, 4.0 3000.0, 2989.3,  10.7,  0.0,  0.0,  0.0
