--------------------Experiment_Info------------------------

Datetime: 17-05-40_26-06-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Position
Modulation: ON

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA), freq (Hz), DC (%), ph1 (deg), ph2 (deg), ph3 (deg)

C-F, 30457.23505120, 0.0000,  1.281598, 0.600, 4.0 3000.0, 2989.0,  11.0,  0.0,  0.0,  0.0, 100, 50, 180, 180,   0
C-F, 30457.23755120, 0.0025,  0.013690, 0.600, 4.0 3000.0, 2993.9,   6.1,  0.0,  0.0,  0.0, 100, 50, 180, 180,   0
C-F, 30457.24005120, 0.0050, -1.037158, 0.600, 4.0 3000.0, 2998.9,   1.1,  0.0,  0.0,  0.0, 100, 50, 180, 180,   0
C-F, 30457.24255120, 0.0075,  0.607561, 0.600, 4.0 3000.0, 3003.9,  -3.9,  0.0,  0.0,  0.0, 100, 50, 180, 180,   0
C-F, 30457.24505120, 0.0100,  1.488495, 0.600, 4.0 3000.0, 3008.8,  -8.8,  0.0,  0.0,  0.0, 100, 50, 180, 180,   0
C-F, 30457.24755120, 0.0125,  0.115788, 0.600, 4.0 3000.0, 3013.8, -13.8,  0.0,  0.0,  0.0, 100, 50, 180, 180,   0
C-F, 30457.25005120, 0.0150, -1.148140, 0.600, 4.0 3000.0, 3018.8, -18.8,  0.0,  0.0,  0.0, 100, 50, 180, 180,   0
C-F, 30457.25255120, 0.0175, -0.760637, 0.600, 4.0 3000.0, 3023.7, -23.7,  0.0,  0.0,  0.0, 100, 50, 180, 180,   0
C-F, 30457.25505120, 0.0200, -0.369522, 0.600, 4.0 3000.0, 3028.7, -28.7,  0.0,  0.0,  0.0, 100, 50, 180, 180,   0
C-F, 30457.25755120, 0.0225,  0.130840, 0.600, 4.0 3000.0, 3033.7, -33.7,  0.0,  0.0,  0.0, 100, 50, 180, 180,   0
