--------------------Experiment_Info------------------------

Datetime: 17-05-40_26-06-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Position
Modulation: ON

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA), freq (Hz), DC (%), ph1 (deg), ph2 (deg), ph3 (deg)

B-E, 30308.83714780, 0.0000, -9.690719, 0.250, 4.0 3000.0, 3078.8, -78.8,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.83964780, 0.0025, -10.027167, 0.250, 4.0 3000.0, 3074.1, -74.1,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.84214780, 0.0050, -10.147537, 0.250, 4.0 3000.0, 3069.4, -69.4,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.84464780, 0.0075, -10.267908, 0.250, 4.0 3000.0, 3064.7, -64.7,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.84714780, 0.0100, -10.084864, 0.250, 4.0 3000.0, 3060.0, -60.0,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.84964780, 0.0125, -10.042958, 0.250, 4.0 3000.0, 3055.3, -55.3,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.85214780, 0.0150, -10.039050, 0.250, 4.0 3000.0, 3050.6, -50.6,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.85464780, 0.0175, -10.035142, 0.250, 4.0 3000.0, 3045.9, -45.9,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.85714780, 0.0200, -10.031234, 0.250, 4.0 3000.0, 3041.2, -41.2,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.85964780, 0.0225, -10.117734, 0.250, 4.0 3000.0, 3036.5, -36.5,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.86214780, 0.0250, -9.672970, 0.250, 4.0 3000.0, 3031.8, -31.8,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.86464780, 0.0275, -9.199448, 0.250, 4.0 3000.0, 3027.1, -27.1,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.86714780, 0.0300, -8.725926, 0.250, 4.0 3000.0, 3022.4, -22.4,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.86964780, 0.0325, -8.963144, 0.250, 4.0 3000.0, 3017.7, -17.7,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.87214780, 0.0350, -9.216920, 0.250, 4.0 3000.0, 3013.0, -13.0,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.87464780, 0.0375, -8.397144, 0.250, 4.0 3000.0, 3008.3,  -8.3,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.87714780, 0.0400, -8.375064, 0.250, 4.0 3000.0, 3003.6,  -3.6,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.87964780, 0.0425, -9.290315, 0.250, 4.0 3000.0, 2998.9,   1.1,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.88214780, 0.0450, -9.838928, 0.250, 4.0 3000.0, 2994.2,   5.8,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.88464780, 0.0475, -9.246376, 0.250, 4.0 3000.0, 2989.5,  10.5,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.88714780, 0.0500, -8.653824, 0.250, 4.0 3000.0, 2984.8,  15.2,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.88964780, 0.0525, -8.276507, 0.250, 4.0 3000.0, 2980.1,  19.9,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.89214780, 0.0550, -9.228407, 0.250, 4.0 3000.0, 2979.8,  20.2,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.89464780, 0.0575, -9.318179, 0.250, 4.0 3000.0, 2981.0,  19.0,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.89714780, 0.0600, -8.502840, 0.250, 4.0 3000.0, 2982.2,  17.8,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.89964780, 0.0625, -9.584303, 0.250, 4.0 3000.0, 2983.5,  16.5,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.90214780, 0.0650, -9.846544, 0.250, 4.0 3000.0, 2984.7,  15.3,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.90464780, 0.0675, -9.345774, 0.250, 4.0 3000.0, 2985.9,  14.1,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.90714780, 0.0700, -8.770639, 0.250, 4.0 3000.0, 2987.2,  12.8,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
B-E, 30308.90964780, 0.0725, -9.468464, 0.250, 4.0 3000.0, 2988.4,  11.6,  0.0,  0.0,  0.0, 100, 50, 180,   0, 180
