--------------------Experiment_Info------------------------

Datetime: 18-12-16_28-06-2024
Characterization: Static
Mode: Manual

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

-------------------Explanatory_Note-----------------------

When the PS is set ON, the variables (state, freq, DC, phase shifts) are recorded. If the PS is set OFF, the variables are recorded as "-".
Voltage aquired from the PS is recorded with a small delay raletivly to the other variables. The delay is due to the PS response time.

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)

-, 206999.01396790, 0.0000, -19.455026, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.01646790, 0.0025, -19.420332, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.01896790, 0.0050, -19.225891, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.02146790, 0.0075, -19.141236, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.02396790, 0.0100, -19.194920, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.02646790, 0.0125, -19.360584, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.02896790, 0.0150, -19.286430, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.03146790, 0.0175, -19.317175, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.03396790, 0.0200, -19.443087, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.03646790, 0.0225, -19.405446, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.03896790, 0.0250, -19.235775, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.04146790, 0.0275, -19.306847, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.04396790, 0.0300, -19.322564, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.04646790, 0.0325, -19.329789, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.04896790, 0.0350, -19.311908, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.05146790, 0.0375, -19.411444, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.05396790, 0.0400, -19.411444, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.05646790, 0.0425, -19.411444, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.05896790, 0.0450, -19.292588, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.06146790, 0.0475, -19.275939, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.06396790, 0.0500, -19.282810, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.06646790, 0.0525, -19.289682, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.06896790, 0.0550, -19.302317, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.07146790, 0.0575, -19.387845, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.07396790, 0.0600, -19.415706, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.07646790, 0.0625, -19.380273, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.07896790, 0.0650, -19.355619, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.08146790, 0.0675, -19.330966, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.08396790, 0.0700, -19.306989, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.08646790, 0.0725, -19.313501, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.08896790, 0.0750, -19.320014, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
-, 206999.09146790, 0.0775, -19.326526, 0.120, 4.0   0.0,   2.0,  -2.0,  0.0,  0.0,  0.0
