--------------------Experiment_Info------------------------

Datetime: 13-19-52_29-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Frequency and Position
Modulation: ON
Control sequence: <PyQt6.QtWidgets.QLabel object at 0x0000026BEAF6FD90>
Modulation frequency (Hz): 10.0
Start position (mm): 45
End position (mm): 45
Step size (mm): 0
Target voltage (V): 2500
Start mod. freq. (Hz): 10
End mod. freq. (Hz): 50
Step mod. freq. (Hz): 10

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA), freq (Hz), DC (%), ph1 (deg), ph2 (deg), ph3 (deg)
A-D, 3282.54352780, 0.0850,  1.045912, 45.000, 2.5, 2500.0, 2543.5, -43.5,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.54602780, 0.0875, -0.647422, 45.000, 2.5, 2500.0, 2543.1, -43.1,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.54852780, 0.0900, -0.307381, 45.000, 2.5, 2500.0, 2542.7, -42.7,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.55102780, 0.0925,  1.780444, 45.000, 2.5, 2500.0, 2542.4, -42.4,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.55352780, 0.0950,  0.468003, 45.000, 2.5, 2500.0, 2542.0, -42.0,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.55602780, 0.0975, -1.081133, 45.000, 2.5, 2500.0, 2541.7, -41.7,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.55852780, 0.1000, -0.954772, 45.000, 2.5, 2500.0, 2541.3, -41.3,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.56102780, 0.1025,  0.481778, 45.000, 2.5, 2500.0, 2540.9, -40.9,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.56352780, 0.1050, -0.111012, 45.000, 2.5, 2500.0, 2540.6, -40.6,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.56602780, 0.1075, -1.243934, 45.000, 2.5, 2500.0, 2540.2, -40.2,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.56852780, 0.1100, -0.920957, 45.000, 2.5, 2500.0, 2539.9, -39.9,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.57102780, 0.1125, -0.494543, 45.000, 2.5, 2500.0, 2539.5, -39.5,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.57352780, 0.1150, -0.272708, 45.000, 2.5, 2500.0, 2539.1, -39.1,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.57602780, 0.1175, -1.530683, 45.000, 2.5, 2500.0, 2538.8, -38.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.57852780, 0.1200, -0.263179, 45.000, 2.5, 2500.0, 2538.4, -38.4,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.58102780, 0.1225,  1.685559, 45.000, 2.5, 2500.0, 2538.1, -38.1,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.58352780, 0.1250, -0.652109, 45.000, 2.5, 2500.0, 2537.7, -37.7,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.58602780, 0.1275,  0.453007, 45.000, 2.5, 2500.0, 2537.3, -37.3,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.58852780, 0.1300,  1.115246, 45.000, 2.5, 2500.0, 2536.9, -36.9,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.59102780, 0.1325, -1.167368, 45.000, 2.5, 2500.0, 2536.5, -36.5,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.59352780, 0.1350, -1.447951, 45.000, 2.5, 2500.0, 2536.1, -36.1,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.59602780, 0.1375,  1.220179, 45.000, 2.5, 2500.0, 2535.7, -35.7,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.59852780, 0.1400,  0.566509, 45.000, 2.5, 2500.0, 2535.3, -35.3,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.60102780, 0.1425, -1.750607, 45.000, 2.5, 2500.0, 2534.9, -34.9,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.60352780, 0.1450, -0.144098, 45.000, 2.5, 2500.0, 2534.5, -34.5,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.60602780, 0.1475,  1.837463, 45.000, 2.5, 2500.0, 2534.1, -34.1,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.60852780, 0.1500, -0.244952, 45.000, 2.5, 2500.0, 2533.7, -33.7,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.61102780, 0.1525, -1.078148, 45.000, 2.5, 2500.0, 2533.3, -33.3,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.61352780, 0.1550,  2.427352, 45.000, 2.5, 2500.0, 2532.9, -32.9,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.61602780, 0.1575,  2.427352, 45.000, 2.5, 2500.0, 2532.5, -32.5,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.61852780, 0.1600,  2.389132, 45.000, 2.5, 2500.0, 2532.1, -32.1,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.62102780, 0.1625, -1.502898, 45.000, 2.5, 2500.0, 2531.6, -31.6,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.62352780, 0.1650,  1.295793, 45.000, 2.5, 2500.0, 2531.2, -31.2,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.62602780, 0.1675,  2.385501, 45.000, 2.5, 2500.0, 2530.8, -30.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.62852780, 0.1700, -1.240992, 45.000, 2.5, 2500.0, 2530.4, -30.4,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.63102780, 0.1725, -0.129422, 45.000, 2.5, 2500.0, 2530.0, -30.0,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.63352780, 0.1750,  2.291063, 45.000, 2.5, 2500.0, 2529.6, -29.6,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.63602780, 0.1775,  0.784171, 45.000, 2.5, 2500.0, 2529.5, -29.5,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.63852780, 0.1800, -1.307340, 45.000, 2.5, 2500.0, 2529.9, -29.9,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.64102780, 0.1825, -0.878669, 45.000, 2.5, 2500.0, 2530.2, -30.2,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.64352780, 0.1850,  3.158666, 45.000, 2.5, 2500.0, 2530.5, -30.5,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.64602780, 0.1875, -1.095749, 45.000, 2.5, 2500.0, 2530.8, -30.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.64852780, 0.1900, -1.505890, 45.000, 2.5, 2500.0, 2531.1, -31.1,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.65102780, 0.1925,  1.176148, 45.000, 2.5, 2500.0, 2531.4, -31.4,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.65352780, 0.1950, -2.473449, 45.000, 2.5, 2500.0, 2531.7, -31.7,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.65602780, 0.1975, -1.912663, 45.000, 2.5, 2500.0, 2532.1, -32.1,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.65852780, 0.2000,  1.481790, 45.000, 2.5, 2500.0, 2532.4, -32.4,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.66102780, 0.2025,  0.122563, 45.000, 2.5, 2500.0, 2532.7, -32.7,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.66352780, 0.2050, -2.608553, 45.000, 2.5, 2500.0, 2533.0, -33.0,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.66602780, 0.2075, -0.969121, 45.000, 2.5, 2500.0, 2533.3, -33.3,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.66852780, 0.2100,  2.291277, 45.000, 2.5, 2500.0, 2533.7, -33.7,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.67102780, 0.2125, -1.569063, 45.000, 2.5, 2500.0, 2534.2, -34.2,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
