--------------------Experiment_Info------------------------

Datetime: 13-17-39_04-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Voltage and Position
Modulation: OFF
Control sequence: A-B-C
Start position (mm): 5
End position (mm): 5
Step size (mm): 1
Start voltage (V): 2000
End voltage (V): 3000
Step voltage (V): 500

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)
A, 707725.72385240, 0.1125,  1.362081, 5.000, 3.5, 2000.0, 2003.0,  -3.0,  0.0,  0.0,  0.0
A, 707725.72635240, 0.1150,  1.335156, 5.000, 3.5, 2000.0, 2003.2,  -3.2,  0.0,  0.0,  0.0
A, 707725.72885240, 0.1175,  1.331190, 5.000, 3.5, 2000.0, 2003.4,  -3.4,  0.0,  0.0,  0.0
A, 707725.73135240, 0.1200,  1.262462, 5.000, 3.5, 2000.0, 2003.5,  -3.5,  0.0,  0.0,  0.0
A, 707725.73385240, 0.1225,  1.249091, 5.000, 3.5, 2000.0, 2003.6,  -3.6,  0.0,  0.0,  0.0
A, 707725.73635240, 0.1250,  1.294579, 5.000, 3.5, 2000.0, 2003.6,  -3.6,  0.0,  0.0,  0.0
A, 707725.73885240, 0.1275,  1.337047, 5.000, 3.5, 2000.0, 2003.7,  -3.7,  0.0,  0.0,  0.0
A, 707725.74135240, 0.1300,  1.360916, 5.000, 3.5, 2000.0, 2003.8,  -3.8,  0.0,  0.0,  0.0
A, 707725.74385240, 0.1325,  1.186161, 5.000, 3.5, 2000.0, 2003.9,  -3.9,  0.0,  0.0,  0.0
A, 707725.74635240, 0.1350,  1.214262, 5.000, 3.5, 2000.0, 2004.0,  -4.0,  0.0,  0.0,  0.0
A, 707725.74885240, 0.1375,  1.222247, 5.000, 3.5, 2000.0, 2004.0,  -4.0,  0.0,  0.0,  0.0
A, 707725.75135240, 0.1400,  1.200789, 5.000, 3.5, 2000.0, 2004.1,  -4.1,  0.0,  0.0,  0.0
A, 707725.75385240, 0.1425,  1.270498, 5.000, 3.5, 2000.0, 2004.2,  -4.2,  0.0,  0.0,  0.0
A, 707725.75635240, 0.1450,  1.266162, 5.000, 3.5, 2000.0, 2004.3,  -4.3,  0.0,  0.0,  0.0
A, 707725.75885240, 0.1475,  1.264434, 5.000, 3.5, 2000.0, 2004.4,  -4.4,  0.0,  0.0,  0.0
A, 707725.76135240, 0.1500,  1.296264, 5.000, 3.5, 2000.0, 2004.4,  -4.4,  0.0,  0.0,  0.0
A, 707725.76385240, 0.1525,  1.302271, 5.000, 3.5, 2000.0, 2004.5,  -4.5,  0.0,  0.0,  0.0
A, 707725.76635240, 0.1550,  1.285985, 5.000, 3.5, 2000.0, 2004.6,  -4.6,  0.0,  0.0,  0.0
A, 707725.76885240, 0.1575,  1.286597, 5.000, 3.5, 2000.0, 2004.7,  -4.7,  0.0,  0.0,  0.0
A, 707725.77135240, 0.1600,  1.304185, 5.000, 3.5, 2000.0, 2004.7,  -4.7,  0.0,  0.0,  0.0
A, 707725.77385240, 0.1625,  1.318557, 5.000, 3.5, 2000.0, 2004.8,  -4.8,  0.0,  0.0,  0.0
A, 707725.77635240, 0.1650,  1.327664, 5.000, 3.5, 2000.0, 2004.9,  -4.9,  0.0,  0.0,  0.0
A, 707725.77885240, 0.1675,  1.320856, 5.000, 3.5, 2000.0, 2005.0,  -5.0,  0.0,  0.0,  0.0
A, 707725.78135240, 0.1700,  1.314047, 5.000, 3.5, 2000.0, 2005.1,  -5.1,  0.0,  0.0,  0.0
A, 707725.78385240, 0.1725,  1.287047, 5.000, 3.5, 2000.0, 2005.1,  -5.1,  0.0,  0.0,  0.0
A, 707725.78635240, 0.1750,  1.227106, 5.000, 3.5, 2000.0, 2005.2,  -5.2,  0.0,  0.0,  0.0
A, 707725.78885240, 0.1775,  1.233673, 5.000, 3.5, 2000.0, 2005.3,  -5.3,  0.0,  0.0,  0.0
A, 707725.79135240, 0.1800,  1.262213, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.79385240, 0.1825,  1.318653, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.79635240, 0.1850,  1.346327, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.79885240, 0.1875,  1.375160, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.80135240, 0.1900,  1.400761, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.80385240, 0.1925,  1.340114, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.80635240, 0.1950,  1.261804, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.80885240, 0.1975,  1.261012, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.81135240, 0.2000,  1.255204, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.81385240, 0.2025,  1.233135, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.81635240, 0.2050,  1.237834, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.81885240, 0.2075,  1.283272, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.82135240, 0.2100,  1.330601, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.82385240, 0.2125,  1.296202, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.82635240, 0.2150,  1.344610, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.82885240, 0.2175,  1.366271, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.83135240, 0.2200,  1.454482, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.83385240, 0.2225,  1.483018, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.83635240, 0.2250,  1.480353, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.83885240, 0.2275,  1.473300, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.84135240, 0.2300,  1.459116, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.84385240, 0.2325,  1.397559, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.84635240, 0.2350,  1.279916, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
