--------------------Experiment_Info------------------------

Datetime: 16-35-08_03-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Position
Modulation: OFF
Control sequence: A-B-C
Start position (mm): 5
End position (mm): 5
Step size (mm): 1
Target voltage (V): 3000

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)

A, 633174.74965440, 0.0000,  3.920641, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.75215440, 0.0025,  3.914666, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.75465440, 0.0050,  3.889852, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.75715440, 0.0075,  3.903033, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.75965440, 0.0100,  3.904567, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.76215440, 0.0125,  3.879523, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.76465440, 0.0150,  3.908063, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.76715440, 0.0175,  3.936603, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.76965440, 0.0200,  3.979392, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.77215440, 0.0225,  4.076796, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.77465440, 0.0250,  4.085558, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.77715440, 0.0275,  4.094319, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.77965440, 0.0300,  4.103081, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.78215440, 0.0325,  3.889959, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.78465440, 0.0350,  3.823810, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.78715440, 0.0375,  3.800770, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.78965440, 0.0400,  3.792036, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.79215440, 0.0425,  3.867973, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.79465440, 0.0450,  3.927178, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.79715440, 0.0475,  3.927178, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 633174.79965440, 0.0500,  3.929777, 5.000, 0.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
