--------------------Experiment_Info------------------------

Datetime: 15-58-36_04-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Position
Modulation: OFF
Control sequence: A-B-C
Start position (mm): 5
End position (mm): 5
Step size (mm): 1
Target voltage (V): 3000

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)
A, 717382.87869580, 0.1125,  2.731386, 5.000, 3.5, 3000.0, 2999.3,   0.7,  0.0,  0.0,  0.0
A, 717382.88119580, 0.1150,  2.746878, 5.000, 3.5, 3000.0, 2999.4,   0.6,  0.0,  0.0,  0.0
A, 717382.88369580, 0.1175,  2.762370, 5.000, 3.5, 3000.0, 2999.6,   0.4,  0.0,  0.0,  0.0
A, 717382.88619580, 0.1200,  2.777861, 5.000, 3.5, 3000.0, 2999.7,   0.3,  0.0,  0.0,  0.0
A, 717382.88869580, 0.1225,  2.758786, 5.000, 3.5, 3000.0, 2999.9,   0.1,  0.0,  0.0,  0.0
A, 717382.89119580, 0.1250,  2.727864, 5.000, 3.5, 3000.0, 3000.0,  -0.0,  0.0,  0.0,  0.0
A, 717382.89369580, 0.1275,  2.743475, 5.000, 3.5, 3000.0, 3000.1,  -0.1,  0.0,  0.0,  0.0
A, 717382.89619580, 0.1300,  2.789416, 5.000, 3.5, 3000.0, 3000.3,  -0.3,  0.0,  0.0,  0.0
A, 717382.89869580, 0.1325,  2.827580, 5.000, 3.5, 3000.0, 3000.4,  -0.4,  0.0,  0.0,  0.0
A, 717382.90119580, 0.1350,  2.863871, 5.000, 3.5, 3000.0, 3000.6,  -0.6,  0.0,  0.0,  0.0
A, 717382.90369580, 0.1375,  2.900162, 5.000, 3.5, 3000.0, 3000.7,  -0.7,  0.0,  0.0,  0.0
